/* Database Systems, Coronel/Morris */
/* Type of SQL : MySQL */

CREATE TABLE ORDERS (
ORDER_ID int PRIMARY KEY,
ORDER_DATE DATETIME,
DEPT_ID nvarchar (6),
VENDOR_ID nvarchar (10),
PRODUCT_ID nvarchar (60),
ORDER_TOTCOST float
);

INSERT INTO ORDERS VALUES (1, '2013-08-28', 'PRODUC', 'ADM', 'Pencil', 33);
INSERT INTO ORDERS VALUES (262, '2017-07-01', 'PRODUC', 'BCC', 'Ribbons', 29);
INSERT INTO ORDERS VALUES (263, '2017-07-05', 'MARKET', 'MCC', 'Labels', 161.85);
INSERT INTO ORDERS VALUES (264, '2017-07-05', 'ACCTNG', 'MCC', 'Labels', 157.5);
INSERT INTO ORDERS VALUES (265, '2017-07-08', 'MARKET', 'MCC', 'Labels', 242.95);
INSERT INTO ORDERS VALUES (266, '2017-06-11', 'MARKET', 'ALLDAY', 'Disks', 38.25);
INSERT INTO ORDERS VALUES (267, '2017-07-23', 'MARKET', 'MCC', 'Envelopes', 341.65);
INSERT INTO ORDERS VALUES (269, '2017-08-06', 'MARKET', 'ALLDAY', 'Envelopes', 599);
INSERT INTO ORDERS VALUES (270, '2017-08-06', 'MARKET', 'ADM', 'Paper', 339.18);
INSERT INTO ORDERS VALUES (271, '2017-08-10', 'DESIGN', 'MCC', 'Toners', 72.95);
INSERT INTO ORDERS VALUES (272, '2017-08-23', 'PRODUC', 'MCC', 'Ribbons', 119.44);
INSERT INTO ORDERS VALUES (273, '2017-08-23', 'MARKET', 'MCC', 'Labels', 249);
INSERT INTO ORDERS VALUES (274, '2017-08-27', 'MARKET', 'MCC', 'Toners', 251.75);
INSERT INTO ORDERS VALUES (275, '2017-09-01', 'PRODUC', 'ALLDAY', 'Labels', 199);
INSERT INTO ORDERS VALUES (276, '2017-09-03', 'DESIGN', 'ADM', 'Paper', 409.92);
INSERT INTO ORDERS VALUES (277, '2017-09-07', 'PRODUC', 'ALLDAY', 'Labels', 192.85);
INSERT INTO ORDERS VALUES (278, '2017-09-13', 'MARKET', 'ALLDAY', 'Envelopes', 452.5);
INSERT INTO ORDERS VALUES (279, '2017-09-20', 'DESIGN', 'ALLDAY', 'Pencil', 299.5);
INSERT INTO ORDERS VALUES (280, '2017-09-28', 'PRODUC', 'ADM', 'Pencil', 91.78);
INSERT INTO ORDERS VALUES (281, '2017-09-28', 'DESIGN', 'ADM', 'Pencil', 71.21);
INSERT INTO ORDERS VALUES (282, '2017-09-24', 'MARKET', 'ALLDAY', 'Envelopes', 323.7);
INSERT INTO ORDERS VALUES (283, '2017-09-25', 'MARKET', 'ALLDAY', 'Pencil', 179.8);
INSERT INTO ORDERS VALUES (284, '2017-10-11', 'MARKET', 'ALLDAY', 'Envelopes', 619.6);
INSERT INTO ORDERS VALUES (285, '2017-10-12', 'MARKET', 'ALLDAY', 'Envelopes', 305.7);
INSERT INTO ORDERS VALUES (287, '2017-10-15', 'MARKET', 'BCC', 'Envelopes', 462.5);
INSERT INTO ORDERS VALUES (288, '2017-10-14', 'PRODUC', 'ALLDAY', 'Paper', 30);
INSERT INTO ORDERS VALUES (291, '2017-10-26', 'PRODUC', 'ADM', 'Envelopes', 410.86);
INSERT INTO ORDERS VALUES (295, '2017-10-29', 'MARKET', 'ALLDAY', 'Paper', 112);
INSERT INTO ORDERS VALUES (296, '2017-11-03', 'DESIGN', 'ADM', 'Paper', 370.52);
INSERT INTO ORDERS VALUES (297, '2017-11-09', 'PRODUC', 'ADM', 'Pencil', 249.17);
INSERT INTO ORDERS VALUES (298, '2017-11-09', 'MARKET', 'BCC', 'Paper', 162.6);
INSERT INTO ORDERS VALUES (299, '2017-11-10', 'MARKET', 'ALLDAY', 'Envelopes', 619.6);
INSERT INTO ORDERS VALUES (300, '2017-11-10', 'PRODUC', 'ALLDAY', 'Envelopes', 309.8);
INSERT INTO ORDERS VALUES (301, '2017-11-12', 'MARKET', 'ALLDAY', 'Paper', 377.6);
INSERT INTO ORDERS VALUES (302, '2017-11-17', 'ACCTNG', 'ADM', 'Pencil', 115);
INSERT INTO ORDERS VALUES (303, '2017-11-22', 'DESIGN', 'ALLDAY', 'Envelopes', 446.9);
INSERT INTO ORDERS VALUES (304, '2017-12-03', 'ACCTNG', 'ADM', 'Pencil', 18.99);
INSERT INTO ORDERS VALUES (305, '2017-12-08', 'PRODUC', 'ADM', 'Envelopes', 382);
INSERT INTO ORDERS VALUES (306, '2017-12-14', 'DESIGN', 'MCC', 'Pencil', 256.95);
INSERT INTO ORDERS VALUES (307, '2017-11-08', 'MARKET', 'MCC', 'Envelopes', 359.6);
INSERT INTO ORDERS VALUES (308, '2017-11-22', 'MARKET', 'MCC', 'Envelopes', 323.7);
INSERT INTO ORDERS VALUES (309, '2017-11-25', 'MARKET', 'MCC', 'Pencil', 251.75);
INSERT INTO ORDERS VALUES (310, '2017-12-16', 'PRODUC', 'ADM', 'Pencil', 67.22);
INSERT INTO ORDERS VALUES (311, '2017-12-23', 'DESIGN', 'MCC', 'Paper', 393.48);
INSERT INTO ORDERS VALUES (312, '2017-12-30', 'PRODUC', 'ADM', 'Envelopes', 357.5);
INSERT INTO ORDERS VALUES (313, '2018-01-03', 'ACCTNG', 'ADM', 'Pencil', 127.52);
INSERT INTO ORDERS VALUES (314, '2018-01-11', 'MARKET', 'ALLDAY', 'Envelopes', 545.6);
INSERT INTO ORDERS VALUES (315, '2017-12-28', 'MARKET', 'MCC', 'Pencil', 161.85);
INSERT INTO ORDERS VALUES (316, '2018-01-12', 'MARKET', 'MCC', 'Pencil', 89.9);
INSERT INTO ORDERS VALUES (317, '2018-01-28', 'PRODUC', 'ADM', 'Pencil', 82.91);
INSERT INTO ORDERS VALUES (318, '2018-01-28', 'DESIGN', 'ADM', 'Pencil', 284.7);
INSERT INTO ORDERS VALUES (319, '2018-01-28', 'MARKET', 'ADM', 'Paper', 399.95);
INSERT INTO ORDERS VALUES (320, '2018-02-04', 'MARKET', 'MCC', 'Paper', 323.7);
INSERT INTO ORDERS VALUES (321, '2018-02-09', 'DESIGN', 'ADM', 'Paper', 62.22);
INSERT INTO ORDERS VALUES (322, '2018-02-08', 'MARKET', 'MCC', 'Pencil', 215.8);
INSERT INTO ORDERS VALUES (323, '2018-02-11', 'MARKET', 'MCC', 'Paper', 143.9);
INSERT INTO ORDERS VALUES (324, '2018-02-15', 'MARKET', 'ALLDAY', 'Paper', 433);
INSERT INTO ORDERS VALUES (325, '2018-03-14', 'MARKET', 'MCC', 'Paper', 161.85);
INSERT INTO ORDERS VALUES (326, '2018-03-16', 'PRODUC', 'MCC', 'Pencil', 76.95);
INSERT INTO ORDERS VALUES (327, '2018-03-16', 'PRODUC', 'ALLDAY', 'Pencil', 82.8);
INSERT INTO ORDERS VALUES (328, '2018-03-16', 'ACCTNG', 'ALLDAY', 'Paper', 150.9);
INSERT INTO ORDERS VALUES (329, '2018-03-16', 'DESIGN', 'MCC', 'Paper', 358.28);
INSERT INTO ORDERS VALUES (330, '2018-03-21', 'MARKET', 'ALLDAY', 'Envelopes', 433);
INSERT INTO ORDERS VALUES (331, '2018-03-22', 'ACCTNG', 'MCC', 'Pencil', 287.97);
INSERT INTO ORDERS VALUES (332, '2018-03-09', 'MARKET', 'MCC', 'Envelopes', 341.65);
INSERT INTO ORDERS VALUES (333, '2018-03-23', 'MARKET', 'MCC', 'Envelopes', 305.7);
INSERT INTO ORDERS VALUES (334, '2018-03-28', 'MARKET', 'MCC', 'Labels', 215.8);
INSERT INTO ORDERS VALUES (335, '2018-03-31', 'MARKET', 'MCC', 'Ribbons', 287.7);
INSERT INTO ORDERS VALUES (336, '2018-03-30', 'MARKET', 'MCC', 'Ribbons', 269.75);
INSERT INTO ORDERS VALUES (337, '2018-04-04', 'PRODUC', 'MCC', 'Ribbons', 291.84);
INSERT INTO ORDERS VALUES (338, '2018-04-04', 'PRODUC', 'BCC', 'Paper', 344);
INSERT INTO ORDERS VALUES (339, '2018-04-06', 'DESIGN', 'ALLDAY', 'Labels', 112);
INSERT INTO ORDERS VALUES (340, '2018-04-06', 'ACCTNG', 'ALLDAY', 'Labels', 206.12);
INSERT INTO ORDERS VALUES (341, '2018-04-07', 'MARKET', 'ALLDAY', 'Envelopes', 433);
INSERT INTO ORDERS VALUES (342, '2018-04-11', 'MARKET', 'MCC', 'Envelopes', 485.55);
INSERT INTO ORDERS VALUES (343, '2018-04-14', 'MARKET', 'MCC', 'Labels', 179.8);
